Title.1;Title.2;Title.3;Title.4;Date;DiaSemana
La casa de papel; Parte 4; Game Over;;viernes, 3 de abril de 2020;6
Better Call Saul; Temporada 5; JMM;;martes, 31 de marzo de 2020;3
Si no despierto;;;;lunes, 30 de marzo de 2020;2
Ozark; Temporada 3; A tope;;lunes, 30 de marzo de 2020;2
Ozark; Temporada 3; Rosa intenso;;domingo, 29 de marzo de 2020;1
Ozark; Temporada 3; Mejores amigos por siempre;;domingo, 29 de marzo de 2020;1
Ozark; Temporada 3; En caso de emergencia;;domingo, 29 de marzo de 2020;1
Ozark; Temporada 3; Su casa es mi casa;;domingo, 29 de marzo de 2020;1
Ozark; Temporada 3; Vino desde Michoacán;;domingo, 29 de marzo de 2020;1
Ozark; Temporada 3; Batalla final;;domingo, 29 de marzo de 2020;1
Ozark; Temporada 3; Kevin Cronin estuvo aquí;;domingo, 29 de marzo de 2020;1
Ozark; Temporada 3; Unión civil;;sábado, 28 de marzo de 2020;7
Ozark; Temporada 3; Tiempos de guerra;;sábado, 28 de marzo de 2020;7
Un juego de caballeros; Temporada 1; Episodio 6;;viernes, 27 de marzo de 2020;6
Un juego de caballeros; Temporada 1; Episodio 5;;viernes, 27 de marzo de 2020;6
Un juego de caballeros; Temporada 1; Episodio 4;;viernes, 27 de marzo de 2020;6
Un juego de caballeros; Temporada 1; Episodio 3;;viernes, 27 de marzo de 2020;6
Un juego de caballeros; Temporada 1; Episodio 2;;viernes, 27 de marzo de 2020;6
Un juego de caballeros; Temporada 1; Episodio 1;;jueves, 26 de marzo de 2020;5
Freud; Temporada 1; Deseo;;miércoles, 25 de marzo de 2020;4
Freud; Temporada 1; Tótem y tabú;;martes, 24 de marzo de 2020;3
Freud; Temporada 1; Sonambulismo;;martes, 24 de marzo de 2020;3
Better Call Saul; Temporada 5; Wexler vs. Goodman;;martes, 24 de marzo de 2020;3
Freud; Temporada 1; Trauma;;lunes, 23 de marzo de 2020;2
Freud; Temporada 1; Histeria;;lunes, 23 de marzo de 2020;2
El verdugo;;;;lunes, 23 de marzo de 2020;2
100 humanos; Temporada 1; La hora de los humanos;;lunes, 23 de marzo de 2020;2
100 humanos; Temporada 1; Los sentidos;;lunes, 23 de marzo de 2020;2
